,boro_nm,cmplnt_fr_dt,cmplnt_fr_tm,cmplnt_to_tm,crm_atpt_cptd_cd,jurisdiction_code,juris_desc,law_cat_cd,loc_of_occur_desc,ofns_desc,prem_typ_desc,rpt_dt,station_name,susp_age_group,susp_race,susp_sex,x_coord_cd,y_coord_cd,latitude,longitude,geocoded_column,transit_district,day,month,year
81031,MANHATTAN,2024-03-20,01:15:00,03:35:00,COMPLETED,1,N.Y. TRANSIT POLICE,FELONY,(null),ROBBERY,TRANSIT - NYC SUBWAY,2024-03-20T00:00:00.000,59 ST.-COLUMBUS CIRCLE,UNKNOWN,WHITE HISPANIC,M,988451,217993,40.7650240788333,-73.9848359497083,"{'type': 'Point', 'coordinates': [-73.9848359497083, 40.7650240788333]}",1,20,3,2024
63576,MANHATTAN,2024-03-20,15:19:00,15:36:00,COMPLETED,1,N.Y. TRANSIT POLICE,MISDEMEANOR,(null),ASSAULT 3 & RELATED OFFENSES,TRANSIT - NYC SUBWAY,2024-03-20T00:00:00.000,14 STREET,18-24,WHITE HISPANIC,M,987048,206851,40.73443438732101,-73.98990393253564,"{'type': 'Point', 'coordinates': [-73.98990393253564, 40.73443438732101]}",4,20,3,2024
62566,MANHATTAN,2024-03-20,16:05:00,16:11:00,COMPLETED,1,N.Y. TRANSIT POLICE,MISDEMEANOR,(null),OTHER OFFENSES RELATED TO THEFT,TRANSIT - NYC SUBWAY,2024-03-20T00:00:00.000,42 ST.-PORT AUTHORITY BUS TERM,45-64,WHITE HISPANIC,M,987078,215157,40.757232265258125,-73.98979219054627,"{'type': 'Point', 'coordinates': [-73.98979219054627, 40.757232265258125]}",1,20,3,2024
113119,MANHATTAN,2024-03-20,23:41:00,23:48:00,COMPLETED,1,N.Y. TRANSIT POLICE,MISDEMEANOR,(null),DANGEROUS WEAPONS,TRANSIT - NYC SUBWAY,2024-03-20T00:00:00.000,42 ST.-GRAND CENTRAL,25-44,WHITE,M,990886,213048,40.751441558231285,-73.97604910329609,"{'type': 'Point', 'coordinates': [-73.97604910329609, 40.751441558231285]}",4,20,3,2024
125113,BROOKLYN,2024-03-20,10:52:00,10:52:00,COMPLETED,1,N.Y. TRANSIT POLICE,MISDEMEANOR,(null),OTHER OFFENSES RELATED TO THEFT,TRANSIT - NYC SUBWAY,2024-03-20T00:00:00.000,BRIGHTON BEACH,25-44,WHITE HISPANIC,M,994961,149718,40.57761083502094,-73.96144207569856,"{'type': 'Point', 'coordinates': [-73.96144207569856, 40.57761083502094]}",34,20,3,2024
76814,BROOKLYN,2024-03-21,14:50:00,14:52:00,COMPLETED,1,N.Y. TRANSIT POLICE,MISDEMEANOR,(null),OTHER OFFENSES RELATED TO THEFT,TRANSIT - NYC SUBWAY,2024-03-21T00:00:00.000,25 AVENUE,25-44,WHITE HISPANIC,M,987807,157117,40.597925371205,-73.98719146111725,"{'type': 'Point', 'coordinates': [-73.98719146111725, 40.597925371205]}",34,21,3,2024
23221,BROOKLYN,2024-03-21,11:53:00,11:53:00,COMPLETED,1,N.Y. TRANSIT POLICE,MISDEMEANOR,(null),OTHER OFFENSES RELATED TO THEFT,TRANSIT - NYC SUBWAY,2024-03-21T00:00:00.000,45 STREET,45-64,BLACK,M,981568,175823,40.649269733841365,-74.00966514972481,"{'type': 'Point', 'coordinates': [-74.00966514972481, 40.649269733841365]}",34,21,3,2024
64186,MANHATTAN,2024-03-21,18:05:00,19:55:00,COMPLETED,1,N.Y. TRANSIT POLICE,MISDEMEANOR,(null),FRAUDS,TRANSIT - NYC SUBWAY,2024-03-21T00:00:00.000,DISTRICT 4 OFFICE,45-64,BLACK HISPANIC,M,986546,207135,40.73521404188881,-73.99171521010928,"{'type': 'Point', 'coordinates': [-73.99171521010928, 40.73521404188881]}",4,21,3,2024
84760,MANHATTAN,2024-03-21,00:40:00,00:45:00,COMPLETED,1,N.Y. TRANSIT POLICE,MISDEMEANOR,(null),OTHER OFFENSES RELATED TO THEFT,TRANSIT - NYC SUBWAY,2024-03-21T00:00:00.000,59 ST.-COLUMBUS CIRCLE,45-64,BLACK,F,988451,217993,40.7650240788333,-73.9848359497083,"{'type': 'Point', 'coordinates': [-73.9848359497083, 40.7650240788333]}",1,21,3,2024
90456,BROOKLYN,2024-03-21,17:55:00,18:01:00,COMPLETED,1,N.Y. TRANSIT POLICE,MISDEMEANOR,(null),OTHER OFFENSES RELATED TO THEFT,TRANSIT - NYC SUBWAY,2024-03-21T00:00:00.000,HOYT-SCHERMERHORN,25-44,BLACK,F,988089,190305,40.68901916412364,-73.98615711072209,"{'type': 'Point', 'coordinates': [-73.98615711072209, 40.68901916412364]}",30,21,3,2024
76121,MANHATTAN,2024-03-21,18:00:00,18:30:00,COMPLETED,1,N.Y. TRANSIT POLICE,MISDEMEANOR,(null),CRIMINAL TRESPASS,TRANSIT - NYC SUBWAY,2024-03-27T00:00:00.000,ESSEX STREET,UNKNOWN,UNKNOWN,U,987521,201066,40.71855580770046,-73.98820001110087,"{'type': 'Point', 'coordinates': [-73.98820001110087, 40.71855580770046]}",4,21,3,2024
69890,BROOKLYN,2024-03-21,11:00:00,11:05:00,COMPLETED,1,N.Y. TRANSIT POLICE,MISDEMEANOR,(null),CRIMINAL MISCHIEF & RELATED OF,TRANSIT - NYC SUBWAY,2024-03-22T00:00:00.000,YORK STREET,UNKNOWN,UNKNOWN,U,987924,194862,40.701527141680316,-73.98674959172756,"{'type': 'Point', 'coordinates': [-73.98674959172756, 40.701527141680316]}",30,21,3,2024
119865,MANHATTAN,2024-03-21,23:08:00,23:13:00,COMPLETED,1,N.Y. TRANSIT POLICE,MISDEMEANOR,(null),OTHER OFFENSES RELATED TO THEFT,TRANSIT - NYC SUBWAY,2024-03-21T00:00:00.000,103 STREET,18-24,BLACK,M,994926,229324,40.79611095494556,-73.96144192977374,"{'type': 'Point', 'coordinates': [-73.96144192977374, 40.79611095494556]}",3,21,3,2024
66383,BROOKLYN,2024-03-21,12:15:00,12:20:00,COMPLETED,1,N.Y. TRANSIT POLICE,MISDEMEANOR,(null),OFF. AGNST PUB ORD SENSBLTY &,(null),2024-03-28T00:00:00.000,BOROUGH HALL,(null),(null),(null),986754,191591,40.69254941610503,-73.99097045325654,"{'type': 'Point', 'coordinates': [-73.99097045325654, 40.69254941610503]}",30,21,3,2024
67084,MANHATTAN,2024-03-21,12:30:00,12:38:00,COMPLETED,1,N.Y. TRANSIT POLICE,MISDEMEANOR,(null),OTHER OFFENSES RELATED TO THEFT,TRANSIT - NYC SUBWAY,2024-03-21T00:00:00.000,42 ST.-PORT AUTHORITY BUS TERM,45-64,BLACK,F,987078,215157,40.757232265258125,-73.98979219054627,"{'type': 'Point', 'coordinates': [-73.98979219054627, 40.757232265258125]}",1,21,3,2024
56008,MANHATTAN,2024-03-21,13:22:00,13:27:00,COMPLETED,1,N.Y. TRANSIT POLICE,MISDEMEANOR,(null),CRIMINAL TRESPASS,TRANSIT - NYC SUBWAY,2024-03-21T00:00:00.000,28 STREET,25-44,BLACK,M,986090,211515,40.74723615827734,-73.99335942321807,"{'type': 'Point', 'coordinates': [-73.99335942321807, 40.74723615827734]}",2,21,3,2024
118413,BROOKLYN,2024-03-21,13:00:00,13:10:00,COMPLETED,1,N.Y. TRANSIT POLICE,MISDEMEANOR,(null),CRIMINAL MISCHIEF & RELATED OF,TRANSIT - NYC SUBWAY,2024-07-22T00:00:00.000,BRIGHTON BEACH,(null),(null),(null),994705,149645,40.57741077000504,-73.96236374844086,"{'type': 'Point', 'coordinates': [-73.96236374844086, 40.57741077000504]}",34,21,3,2024
100194,MANHATTAN,2024-03-21,21:10:00,21:20:00,COMPLETED,1,N.Y. TRANSIT POLICE,FELONY,(null),GRAND LARCENY,TRANSIT - NYC SUBWAY,2024-03-21T00:00:00.000,72 STREET,UNKNOWN,UNKNOWN,U,989220,223013,40.778794001068604,-73.98205472388632,"{'type': 'Point', 'coordinates': [-73.98205472388632, 40.778794001068604]}",1,21,3,2024
98383,BROOKLYN,2024-03-21,17:23:00,17:23:00,COMPLETED,1,N.Y. TRANSIT POLICE,MISDEMEANOR,(null),OTHER OFFENSES RELATED TO THEFT,TRANSIT - NYC SUBWAY,2024-03-21T00:00:00.000,BAY PARKWAY,18-24,WHITE HISPANIC,M,989317,162811,40.613553503534256,-73.98174977204332,"{'type': 'Point', 'coordinates': [-73.98174977204332, 40.613553503534256]}",34,21,3,2024
109628,MANHATTAN,2024-03-21,18:05:00,18:15:00,COMPLETED,1,N.Y. TRANSIT POLICE,MISDEMEANOR,(null),OTHER OFFENSES RELATED TO THEFT,TRANSIT - NYC SUBWAY,2024-03-21T00:00:00.000,51 STREET,45-64,BLACK HISPANIC,M,992033,215119,40.75712499168744,-73.97190691152305,"{'type': 'Point', 'coordinates': [-73.97190691152305, 40.75712499168744]}",4,21,3,2024
70219,MANHATTAN,2024-03-21,22:25:00,22:30:00,COMPLETED,1,N.Y. TRANSIT POLICE,MISDEMEANOR,(null),OTHER OFFENSES RELATED TO THEFT,TRANSIT - NYC SUBWAY,2024-03-21T00:00:00.000,42 ST.-TIMES SQUARE,25-44,WHITE HISPANIC,M,988099,214912,40.75655941724014,-73.98610697956573,"{'type': 'Point', 'coordinates': [-73.98610697956573, 40.75655941724014]}",1,21,3,2024
69895,BROOKLYN,2024-03-21,11:23:00,11:23:00,COMPLETED,1,N.Y. TRANSIT POLICE,MISDEMEANOR,(null),CRIMINAL MISCHIEF & RELATED OF,TRANSIT - NYC SUBWAY,2024-03-28T00:00:00.000,YORK STREET,UNKNOWN,UNKNOWN,U,987924,194862,40.701527141680316,-73.98674959172756,"{'type': 'Point', 'coordinates': [-73.98674959172756, 40.701527141680316]}",30,21,3,2024
43105,MANHATTAN,2024-03-21,17:15:00,17:25:00,COMPLETED,1,N.Y. TRANSIT POLICE,VIOLATION,(null),ADMINISTRATIVE CODE,TRANSIT - NYC SUBWAY,2024-03-21T00:00:00.000,W. 4 STREET,25-44,WHITE HISPANIC,M,983985,205857,40.73170654022224,-74.00095616452742,"{'type': 'Point', 'coordinates': [-74.00095616452742, 40.73170654022224]}",2,21,3,2024
31762,BROOKLYN,2024-03-21,13:45:00,13:50:00,COMPLETED,1,N.Y. TRANSIT POLICE,MISDEMEANOR,(null),ASSAULT 3 & RELATED OFFENSES,TRANSIT - NYC SUBWAY,2024-03-21T00:00:00.000,FORT HAMILTON PKWY,18-24,BLACK,F,982301,169571,40.63210952512942,-74.0070218243994,"{'type': 'Point', 'coordinates': [-74.0070218243994, 40.63210952512942]}",34,21,3,2024
98803,BROOKLYN,2024-03-21,00:04:00,00:22:00,COMPLETED,1,N.Y. TRANSIT POLICE,FELONY,(null),CRIMINAL MISCHIEF & RELATED OF,TRANSIT - NYC SUBWAY,2024-03-21T00:00:00.000,STILLWELL AVENUE-CONEY ISLAND,25-44,WHITE HISPANIC,M,989468,148972,40.57556814653694,-73.98121659125884,"{'type': 'Point', 'coordinates': [-73.98121659125884, 40.57556814653694]}",34,21,3,2024
65001,MANHATTAN,2024-03-21,19:52:00,19:53:00,COMPLETED,1,N.Y. TRANSIT POLICE,MISDEMEANOR,(null),OTHER OFFENSES RELATED TO THEFT,TRANSIT - NYC SUBWAY,2024-03-21T00:00:00.000,UNION SQUARE,25-44,BLACK,M,987048,206851,40.73443438732101,-73.98990393253564,"{'type': 'Point', 'coordinates': [-73.98990393253564, 40.73443438732101]}",4,21,3,2024
58886,MANHATTAN,2024-03-21,17:42:00,17:47:00,COMPLETED,1,N.Y. TRANSIT POLICE,MISDEMEANOR,(null),OTHER OFFENSES RELATED TO THEFT,TRANSIT - NYC SUBWAY,2024-03-21T00:00:00.000,14 STREET,25-44,BLACK,M,987048,206851,40.73443438732101,-73.98990393253564,"{'type': 'Point', 'coordinates': [-73.98990393253564, 40.73443438732101]}",4,21,3,2024
73829,BROOKLYN,2024-03-21,17:37:00,17:43:00,COMPLETED,1,N.Y. TRANSIT POLICE,MISDEMEANOR,(null),CRIMINAL MISCHIEF & RELATED OF,TRANSIT - NYC SUBWAY,2024-03-21T00:00:00.000,HOYT-SCHERMERHORN,UNKNOWN,UNKNOWN,U,988089,190305,40.68901916412364,-73.98615711072209,"{'type': 'Point', 'coordinates': [-73.98615711072209, 40.68901916412364]}",30,21,3,2024
82001,MANHATTAN,2024-03-21,00:20:00,00:30:00,COMPLETED,1,N.Y. TRANSIT POLICE,MISDEMEANOR,(null),OTHER OFFENSES RELATED TO THEFT,TRANSIT - NYC SUBWAY,2024-03-21T00:00:00.000,59 ST.-COLUMBUS CIRCLE,(null),(null),(null),988451,217993,40.7650240788333,-73.9848359497083,"{'type': 'Point', 'coordinates': [-73.9848359497083, 40.7650240788333]}",1,21,3,2024
29372,MANHATTAN,2024-03-21,14:25:00,14:30:00,COMPLETED,1,N.Y. TRANSIT POLICE,FELONY,(null),MISCELLANEOUS PENAL LAW,TRANSIT - NYC SUBWAY,2024-03-21T00:00:00.000,FULTON STREET,45-64,BLACK,M,981604,198068,40.7103272228251,-74.00954415049303,"{'type': 'Point', 'coordinates': [-74.00954415049303, 40.7103272228251]}",2,21,3,2024
52476,MANHATTAN,2024-03-21,20:48:00,20:50:00,COMPLETED,1,N.Y. TRANSIT POLICE,FELONY,(null),ROBBERY,TRANSIT - NYC SUBWAY,2024-03-21T00:00:00.000,34 ST.-PENN STATION,25-44,WHITE,F,986061,213320,40.75219043401121,-73.99346359839569,"{'type': 'Point', 'coordinates': [-73.99346359839569, 40.75219043401121]}",2,21,3,2024
106377,MANHATTAN,2024-03-21,01:22:00,01:32:00,COMPLETED,1,N.Y. TRANSIT POLICE,MISDEMEANOR,(null),FRAUDS,TRANSIT - NYC SUBWAY,2024-03-21T00:00:00.000,51 STREET,25-44,WHITE HISPANIC,M,992033,215119,40.75712499168744,-73.97190691152305,"{'type': 'Point', 'coordinates': [-73.97190691152305, 40.75712499168744]}",4,21,3,2024
40949,BROOKLYN,2024-03-21,13:49:00,13:49:00,COMPLETED,1,N.Y. TRANSIT POLICE,MISDEMEANOR,(null),OTHER OFFENSES RELATED TO THEFT,TRANSIT - NYC SUBWAY,2024-03-21T00:00:00.000,SMITH-9 STREETS,18-24,BLACK,M,984869,185103,40.674741668197576,-73.99776845166649,"{'type': 'Point', 'coordinates': [-73.99776845166649, 40.674741668197576]}",30,21,3,2024
104945,MANHATTAN,2024-03-21,10:30:00,10:35:00,COMPLETED,1,N.Y. TRANSIT POLICE,MISDEMEANOR,(null),ASSAULT 3 & RELATED OFFENSES,TRANSIT - NYC SUBWAY,2024-03-21T00:00:00.000,LEXINGTON AVENUE,45-64,BLACK,M,992286,215574,40.758373624086936,-73.97099315286859,"{'type': 'Point', 'coordinates': [-73.97099315286859, 40.758373624086936]}",4,21,3,2024
78369,MANHATTAN,2024-03-21,09:00:00,09:10:00,COMPLETED,1,N.Y. TRANSIT POLICE,VIOLATION,(null),HARRASSMENT 2,TRANSIT - NYC SUBWAY,2024-03-21T00:00:00.000,42 ST.-TIMES SQUARE,UNKNOWN,BLACK,M,988017,214638,40.75580739237299,-73.98640311324542,"{'type': 'Point', 'coordinates': [-73.98640311324542, 40.75580739237299]}",1,21,3,2024
110626,BROOKLYN,2024-03-21,11:25:00,11:30:00,COMPLETED,1,N.Y. TRANSIT POLICE,FELONY,(null),FELONY ASSAULT,TRANSIT - NYC SUBWAY,2024-03-21T00:00:00.000,7TH AVENUE,25-44,BLACK,M,991724,186291,40.67799932662527,-73.973054269436,"{'type': 'Point', 'coordinates': [-73.973054269436, 40.67799932662527]}",32,21,3,2024
59065,MANHATTAN,2024-03-21,14:10:00,14:20:00,COMPLETED,1,N.Y. TRANSIT POLICE,MISDEMEANOR,(null),OTHER OFFENSES RELATED TO THEFT,TRANSIT - NYC SUBWAY,2024-03-21T00:00:00.000,42 ST.-PORT AUTHORITY BUS TERM,25-44,BLACK,M,987078,215157,40.757232265258125,-73.98979219054627,"{'type': 'Point', 'coordinates': [-73.98979219054627, 40.757232265258125]}",1,21,3,2024
62228,MANHATTAN,2024-03-21,23:50:00,23:50:00,COMPLETED,1,N.Y. TRANSIT POLICE,VIOLATION,(null),ADMINISTRATIVE CODE,TRANSIT - NYC SUBWAY,2024-03-21T00:00:00.000,42 ST.-PORT AUTHORITY BUS TERM,45-64,WHITE HISPANIC,M,987078,215157,40.757232265258125,-73.98979219054627,"{'type': 'Point', 'coordinates': [-73.98979219054627, 40.757232265258125]}",1,21,3,2024
103528,BROOKLYN,2024-03-21,08:40:00,08:45:00,COMPLETED,1,N.Y. TRANSIT POLICE,VIOLATION,(null),HARRASSMENT 2,TRANSIT - NYC SUBWAY,2024-03-21T00:00:00.000,DEKALB AVENUE,45-64,BLACK,F,989388,190638,40.68993251373749,-73.98147284719796,"{'type': 'Point', 'coordinates': [-73.98147284719796, 40.68993251373749]}",30,21,3,2024
118122,BROOKLYN,2024-03-21,17:15:00,17:30:00,COMPLETED,1,N.Y. TRANSIT POLICE,FELONY,(null),GRAND LARCENY,TRANSIT - NYC SUBWAY,2024-03-21T00:00:00.000,NEWKIRK AVENUE,18-24,WHITE HISPANIC,M,994663,170966,40.635932597718146,-73.96248206847102,"{'type': 'Point', 'coordinates': [-73.96248206847102, 40.635932597718146]}",34,21,3,2024
27036,MANHATTAN,2024-03-21,10:29:00,(null),COMPLETED,1,N.Y. TRANSIT POLICE,FELONY,(null),CRIMINAL MISCHIEF & RELATED OF,TRANSIT - NYC SUBWAY,2024-04-01T00:00:00.000,WALL STREET,25-44,WHITE,M,981005,197131,40.70775518040479,-74.01170429833229,"{'type': 'Point', 'coordinates': [-74.01170429833229, 40.70775518040479]}",2,21,3,2024
96034,BROOKLYN,2024-03-21,01:38:00,01:38:00,COMPLETED,1,N.Y. TRANSIT POLICE,MISDEMEANOR,(null),OFFENSES AGAINST PUBLIC ADMINI,(null),2024-03-21T00:00:00.000,7 AVENUE,18-24,BLACK,M,989360,182242,40.666887410333665,-73.9815801788312,"{'type': 'Point', 'coordinates': [-73.9815801788312, 40.666887410333665]}",30,21,3,2024
107176,MANHATTAN,2024-03-22,06:10:00,06:16:00,COMPLETED,1,N.Y. TRANSIT POLICE,MISDEMEANOR,(null),ASSAULT 3 & RELATED OFFENSES,TRANSIT - NYC SUBWAY,2024-03-22T00:00:00.000,5 AVENUE,UNKNOWN,BLACK,M,991725,217725,40.76427805844046,-73.97301575364541,"{'type': 'Point', 'coordinates': [-73.97301575364541, 40.76427805844046]}",1,22,3,2024
80883,MANHATTAN,2024-03-22,05:46:00,06:55:00,COMPLETED,1,N.Y. TRANSIT POLICE,MISDEMEANOR,(null),ASSAULT 3 & RELATED OFFENSES,TRANSIT - NYC SUBWAY,2024-03-22T00:00:00.000,72 STREET,25-44,WHITE HISPANIC,F,989220,223013,40.778794001068604,-73.98205472388632,"{'type': 'Point', 'coordinates': [-73.98205472388632, 40.778794001068604]}",1,22,3,2024
40345,MANHATTAN,2024-03-22,03:46:00,03:51:00,COMPLETED,1,N.Y. TRANSIT POLICE,MISDEMEANOR,(null),CRIMINAL MISCHIEF & RELATED OF,TRANSIT - NYC SUBWAY,2024-03-22T00:00:00.000,8 AVENUE,18-24,WHITE,M,983551,208788,40.73975138823035,-74.00252241397993,"{'type': 'Point', 'coordinates': [-74.00252241397993, 40.73975138823035]}",2,22,3,2024
89602,MANHATTAN,2024-03-22,05:46:00,06:55:00,COMPLETED,1,N.Y. TRANSIT POLICE,MISDEMEANOR,(null),ASSAULT 3 & RELATED OFFENSES,TRANSIT - NYC SUBWAY,2024-03-22T00:00:00.000,72 STREET,25-44,BLACK HISPANIC,F,989220,223013,40.778794001068604,-73.98205472388632,"{'type': 'Point', 'coordinates': [-73.98205472388632, 40.778794001068604]}",1,22,3,2024
76645,MANHATTAN,2024-03-22,17:33:00,17:38:00,COMPLETED,1,N.Y. TRANSIT POLICE,MISDEMEANOR,(null),CRIMINAL MISCHIEF & RELATED OF,TRANSIT - NYC SUBWAY,2024-03-22T00:00:00.000,3 AVENUE,45-64,BLACK,M,987803,206435,40.73329229863372,-73.98717987386496,"{'type': 'Point', 'coordinates': [-73.98717987386496, 40.73329229863372]}",4,22,3,2024
64754,MANHATTAN,2024-03-22,01:58:00,02:05:00,COMPLETED,1,N.Y. TRANSIT POLICE,FELONY,(null),DANGEROUS WEAPONS,TRANSIT - NYC SUBWAY,2024-03-22T00:00:00.000,42 ST.-PORT AUTHORITY BUS TERM,25-44,BLACK,M,987078,215157,40.757232265258125,-73.98979219054627,"{'type': 'Point', 'coordinates': [-73.98979219054627, 40.757232265258125]}",1,22,3,2024
67279,MANHATTAN,2024-03-22,13:49:00,13:59:00,COMPLETED,1,N.Y. TRANSIT POLICE,FELONY,(null),FORGERY,TRANSIT - NYC SUBWAY,2024-03-22T00:00:00.000,34 ST.-PENN STATION,45-64,BLACK,M,986848,212883,40.75099078334884,-73.99062326583427,"{'type': 'Point', 'coordinates': [-73.99062326583427, 40.75099078334884]}",2,22,3,2024
64083,MANHATTAN,2024-03-22,14:55:00,14:58:00,COMPLETED,1,N.Y. TRANSIT POLICE,MISDEMEANOR,(null),OTHER OFFENSES RELATED TO THEFT,TRANSIT - NYC SUBWAY,2024-03-22T00:00:00.000,34 ST.-PENN STATION,18-24,BLACK,M,986848,212883,40.75099078334884,-73.99062326583427,"{'type': 'Point', 'coordinates': [-73.99062326583427, 40.75099078334884]}",2,22,3,2024
52160,MANHATTAN,2024-03-22,17:34:00,17:44:00,COMPLETED,1,N.Y. TRANSIT POLICE,MISDEMEANOR,(null),OTHER OFFENSES RELATED TO THEFT,TRANSIT - NYC SUBWAY,2024-03-22T00:00:00.000,34 ST.-PENN STATION,25-44,WHITE,M,986061,213320,40.75219043401121,-73.99346359839569,"{'type': 'Point', 'coordinates': [-73.99346359839569, 40.75219043401121]}",2,22,3,2024
55234,MANHATTAN,2024-03-22,14:00:00,14:08:00,COMPLETED,1,N.Y. TRANSIT POLICE,MISDEMEANOR,(null),OTHER OFFENSES RELATED TO THEFT,TRANSIT - NYC SUBWAY,2024-03-22T00:00:00.000,34 ST.-PENN STATION,25-44,BLACK HISPANIC,M,986061,213320,40.75219043401121,-73.99346359839569,"{'type': 'Point', 'coordinates': [-73.99346359839569, 40.75219043401121]}",2,22,3,2024
93762,MANHATTAN,2024-03-22,21:25:00,21:30:00,COMPLETED,1,N.Y. TRANSIT POLICE,MISDEMEANOR,(null),CRIMINAL MISCHIEF & RELATED OF,TRANSIT - NYC SUBWAY,2024-03-22T00:00:00.000,72 STREET,UNKNOWN,UNKNOWN,U,989220,223013,40.778794001068604,-73.98205472388632,"{'type': 'Point', 'coordinates': [-73.98205472388632, 40.778794001068604]}",1,22,3,2024
62531,MANHATTAN,2024-03-22,07:00:00,07:10:00,COMPLETED,1,N.Y. TRANSIT POLICE,MISDEMEANOR,(null),CRIMINAL MISCHIEF & RELATED OF,TRANSIT - NYC SUBWAY,2024-03-23T00:00:00.000,2 AVENUE,(null),(null),(null),986738,202922,40.72365033469323,-73.99102396312567,"{'type': 'Point', 'coordinates': [-73.99102396312567, 40.72365033469323]}",4,22,3,2024
135314,BROOKLYN,2024-03-22,12:07:00,(null),COMPLETED,1,N.Y. TRANSIT POLICE,MISDEMEANOR,(null),OTHER OFFENSES RELATED TO THEFT,TRANSIT - NYC SUBWAY,2024-03-22T00:00:00.000,"AVENUE ""M""",25-44,WHITE,M,995603,164474,40.61811226937751,-73.95910617829706,"{'type': 'Point', 'coordinates': [-73.95910617829706, 40.61811226937751]}",34,22,3,2024
68389,MANHATTAN,2024-03-22,16:32:00,16:37:00,COMPLETED,1,N.Y. TRANSIT POLICE,MISDEMEANOR,(null),OTHER OFFENSES RELATED TO THEFT,TRANSIT - NYC SUBWAY,2024-03-22T00:00:00.000,34 ST.-PENN STATION,25-44,WHITE HISPANIC,M,986848,212883,40.75099078334884,-73.99062326583427,"{'type': 'Point', 'coordinates': [-73.99062326583427, 40.75099078334884]}",2,22,3,2024
111081,BROOKLYN,2024-03-22,13:30:00,13:35:00,COMPLETED,1,N.Y. TRANSIT POLICE,VIOLATION,(null),HARRASSMENT 2,TRANSIT - NYC SUBWAY,2024-03-22T00:00:00.000,KINGS HIGHWAY,45-64,WHITE,F,991976,159402,40.6041945784706,-73.9721765349984,"{'type': 'Point', 'coordinates': [-73.9721765349984, 40.6041945784706]}",34,22,3,2024
128156,BROOKLYN,2024-03-22,22:00:00,22:30:00,COMPLETED,1,N.Y. TRANSIT POLICE,MISDEMEANOR,(null),CRIMINAL MISCHIEF & RELATED OF,TRANSIT - NYC SUBWAY,2024-03-28T00:00:00.000,KINGS HIGHWAY,(null),(null),(null),996077,161202,40.609130685623,-73.95740454841642,"{'type': 'Point', 'coordinates': [-73.95740454841642, 40.609130685623]}",34,22,3,2024
82463,MANHATTAN,2024-03-22,05:46:00,06:55:00,COMPLETED,1,N.Y. TRANSIT POLICE,MISDEMEANOR,(null),ASSAULT 3 & RELATED OFFENSES,TRANSIT - NYC SUBWAY,2024-03-22T00:00:00.000,72 STREET,25-44,BLACK HISPANIC,F,989220,223013,40.778794001068604,-73.98205472388632,"{'type': 'Point', 'coordinates': [-73.98205472388632, 40.778794001068604]}",1,22,3,2024
56145,MANHATTAN,2024-03-22,23:26:00,23:36:00,COMPLETED,1,N.Y. TRANSIT POLICE,MISDEMEANOR,(null),DANGEROUS WEAPONS,TRANSIT - NYC SUBWAY,2024-03-22T00:00:00.000,14 STREET,(null),(null),(null),985126,207917,40.737360693365886,-73.99683897658859,"{'type': 'Point', 'coordinates': [-73.99683897658859, 40.737360693365886]}",2,22,3,2024
108688,BROOKLYN,2024-03-22,23:30:00,23:37:00,COMPLETED,1,N.Y. TRANSIT POLICE,VIOLATION,(null),ADMINISTRATIVE CODE,TRANSIT - NYC SUBWAY,2024-03-22T00:00:00.000,GRAND ARMY PLAZA,45-64,WHITE,M,992355,185146,40.67485600486293,-73.97078072603578,"{'type': 'Point', 'coordinates': [-73.97078072603578, 40.67485600486293]}",32,22,3,2024
56272,BROOKLYN,2024-03-22,05:40:00,05:55:00,COMPLETED,1,N.Y. TRANSIT POLICE,VIOLATION,(null),HARRASSMENT 2,TRANSIT - NYC SUBWAY,2024-03-22T00:00:00.000,50 STREET,UNKNOWN,BLACK,M,985680,170901,40.63576019184693,-73.99484773822448,"{'type': 'Point', 'coordinates': [-73.99484773822448, 40.63576019184693]}",34,22,3,2024
65798,MANHATTAN,2024-03-22,23:23:00,(null),COMPLETED,1,N.Y. TRANSIT POLICE,FELONY,(null),CRIMINAL MISCHIEF & RELATED OF,TRANSIT - NYC SUBWAY,2024-07-17T00:00:00.000,2 AVENUE,25-44,BLACK,M,986738,202922,40.72365033469323,-73.99102396312567,"{'type': 'Point', 'coordinates': [-73.99102396312567, 40.72365033469323]}",4,22,3,2024
100709,MANHATTAN,2024-03-22,02:21:00,02:35:00,COMPLETED,1,N.Y. TRANSIT POLICE,MISDEMEANOR,(null),OFF. AGNST PUB ORD SENSBLTY &,TRANSIT - NYC SUBWAY,2024-03-22T00:00:00.000,59 ST.-COLUMBUS CIRCLE,25-44,BLACK,M,989377,219037,40.76788083233257,-73.98149087437686,"{'type': 'Point', 'coordinates': [-73.98149087437686, 40.76788083233257]}",1,22,3,2024
65126,BROOKLYN,2024-03-22,12:07:00,12:12:00,COMPLETED,1,N.Y. TRANSIT POLICE,MISDEMEANOR,(null),CRIMINAL MISCHIEF & RELATED OF,TRANSIT - NYC SUBWAY,2024-04-05T00:00:00.000,BOROUGH HALL,(null),(null),(null),986754,191591,40.69254941610503,-73.99097045325654,"{'type': 'Point', 'coordinates': [-73.99097045325654, 40.69254941610503]}",30,22,3,2024
