Annual Subway Ridership,,,,,,,,,,,
Station (alphabetical by borough),*,Boro,2018,2019,2020,2021,2022,2023,2022-2023 Change,,2023 Rank
"Nereid Av (2,5)",,Bx,1034335,1006617,470230.032,538907,588166,#NAME?,#NAME?,#NAME?,#NAME?
Norwood-205 St (D),7,Bx,2611874,2639003,1315356.014,1366801,1435139,#NAME?,#NAME?,#NAME?,#NAME?
Parkchester (6),,Bx,4836244,4734709,2205552.006,2409332,2809208,#NAME?,#NAME?,#NAME?,#NAME?
Pelham Bay Park (6),,Bx,2146552,2134403,951323.991,1011530,1123255,#NAME?,#NAME?,#NAME?,#NAME?
"Pelham Pkwy (2,5)",,Bx,2639586,2651208,1222206.033,1427443,1433009,#NAME?,#NAME?,#NAME?,#NAME?
Pelham Pkwy (5),,Bx,844884,896134,405003.968,447473,547814,#NAME?,#NAME?,#NAME?,#NAME?
"Prospect Av (2,5)",,Bx,2142697,2148059,1021781.047,1125530,1233175,#NAME?,#NAME?,#NAME?,#NAME?
"Simpson St (2,5)",,Bx,2585974,2602749,1230832.92,1385438,1427465,#NAME?,#NAME?,#NAME?,#NAME?
St. Lawrence Ave. (6),,Bx,1273609,1276865,641825.996,699851,793668,#NAME?,#NAME?,#NAME?,#NAME?
"Tremont Av (B,D)",,Bx,3246064,3052099,1433743.994,1518048,1446787,#NAME?,#NAME?,#NAME?,#NAME?
Van Cortlandt Park-242 St (1),,Bx,2333136,2189109,980835.961,1111670,1350182,#NAME?,#NAME?,#NAME?,#NAME?
Wakefield-241 St (2),,Bx,1484478,1404748,711028.969,773321,798984,#NAME?,#NAME?,#NAME?,#NAME?
"West Farms Sq-East Tremont Av (2,5)",,Bx,2094751,2104945,947252.02,1072113,1104895,#NAME?,#NAME?,#NAME?,#NAME?
Westchester Sq-East Tremont Av (6),8,Bx,1817925,1796415,835515.04,929707,1037465,#NAME?,#NAME?,#NAME?,#NAME?
Whitlock Av (6),,Bx,592103,586845,308198.011,331929,378959,#NAME?,#NAME?,#NAME?,#NAME?
Woodlawn (4),,Bx,2160859,2094285,949554.001,1112041,1164758,#NAME?,#NAME?,#NAME?,#NAME?
